ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
89,1,294.1,29.41,64.85,6.486,3.671,0.3677,1.528,0.1534,1.709,0.1714,3.662,0.08892,2.537,0.1089,2.245,0.1157,6.972,0.8745,1.804,0.2952,1.71,0.5197,1.456,1.197,13.97,48.87
90,1,239.1,23.92,53.82,5.382,3.387,0.3393,1.253,0.126,1.47,0.1476,4.134,0.1406,2.578,0.1277,2.614,0.1874,6.058,0.689,1.685,0.1941,0.5975,0.5181,0.7679,0.1155,8.842,25.16
91,2,7.824,0.7829,1.809,0.1825,0.08496,0.009192,nan,nan,nan,nan,1.906,0.0526,1.381,0.03733,0.9517,0.02912,nan,nan,nan,nan,0.2552,0.3049,nan,0.1444,1.195,8.436
92,1,605.1,60.51,119.7,11.97,9.486,0.9493,2.35,0.2355,3.378,0.3383,3.49,0.1467,2.549,0.088,3.081,0.1568,2.578,0.1763,1.768,0.07096,0.9118,3.969,3.055,2.484,25.69,56.14
93,1,613.7,61.37,120.6,12.06,9.575,0.9582,2.38,0.2385,3.398,0.3403,3.484,0.1472,2.531,0.08951,3.075,0.1611,2.521,0.1751,1.747,0.07141,0.9123,3.969,3.056,2.499,26.59,60.07
94,1,338.4,33.84,79.04,7.904,6.571,0.6577,1.65,0.1657,2.391,0.2398,3.355,0.1436,2.597,0.07318,3.013,0.1687,2.033,0.1197,1.624,0.0574,0.8693,2.191,2.192,0.5579,12.49,29.38
95,2,12.35,1.236,1.874,0.189,0.08888,0.00912,nan,nan,nan,nan,1.34,0.02659,1.285,0.02428,1.532,0.126,nan,nan,nan,nan,0.3046,0.5148,0.4315,0.1754,1.026,4.8
96,2,18.42,1.843,2.968,0.2983,0.3605,0.03669,0.09729,0.01042,0.05242,0.005636,1.738,0.02829,2.498,0.1242,1.162,0.07791,0.9077,0.1318,0.6095,0.0976,0.3357,0.2402,nan,0.318,2.909,15.85
97,2,96.59,9.66,14.92,1.492,2.62,0.2624,0.4245,0.04304,0.1903,0.01967,2.499,0.05094,2.22,0.06753,1.943,0.04302,1.593,0.07764,1.417,0.1327,0.3892,0.3203,0.3182,0.122,2.449,10.33
98,1,612.4,61.24,109.8,10.98,21,2.101,4.436,0.4442,3.479,0.3484,4.748,0.1727,4.15,0.1662,4.262,0.2017,3.811,0.2912,2.649,0.1705,0.9774,2.939,2.713,0.6628,13.74,36.36
99,0,37.62,3.762,9.014,0.9023,0.5149,0.05213,0.1929,0.01969,0.1349,0.01382,2.051,0.1254,8.305,0.918,1.237,0.1517,1.079,0.2081,0.1301,inf,0.3774,0.2672,0.1955,0.2892,9.096,60.36
100,2,370.5,37.05,73.24,7.325,12.45,1.246,4.09,0.4095,4.937,0.4942,5.608,0.1897,4.808,0.09581,4.479,0.08701,4.597,0.1541,3.837,0.1331,0.5224,0.4101,0.5813,0.1524,8.102,21.53
101,2,15.3,1.531,1.407,0.1422,0.1512,0.01612,0.01942,0.002148,nan,nan,1.73,0.09572,1.657,0.07911,1.496,0.1038,0.7701,0.01484,nan,nan,0.2719,0.4013,0.2451,0.1812,0.7192,4.509
102,2,22.05,2.205,3.88,0.3888,0.3421,0.03507,0.06418,0.00696,0.08031,0.008362,1.664,0.0788,1.604,0.08845,1.386,0.06139,0.7862,0.03354,1.883,0.1772,0.2851,0.574,0.4519,0.2233,1.179,6.109
103,1,162.6,16.26,29.16,2.917,1.391,0.1401,nan,nan,0.5856,0.05904,2.226,0.1006,2.016,0.05356,1.627,0.06584,nan,nan,2.085,0.1894,1.114,1.229,1.84,0.6212,7.034,22.69
104,1,137.3,13.73,25.11,2.511,1.158,0.1168,nan,nan,0.526,0.05309,2.192,0.09604,1.935,0.04489,1.547,0.05148,nan,nan,2.441,0.2168,1.327,0.7938,1.599,0.6337,5.294,15.27
105,2,3.537,0.3541,0.6148,0.06313,0.0741,0.008199,nan,nan,nan,nan,1.738,0.1023,1.903,0.08439,1.238,0.0616,nan,nan,nan,nan,0.1851,0.225,nan,0.03339,0.4284,3.491
106,2,2.961,0.2969,0.8857,0.08972,nan,nan,nan,nan,nan,nan,1.01,0.03307,3.323,0.2492,nan,nan,nan,nan,nan,nan,0.2623,0.2199,nan,0.01161,2.226,19.78
