ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
116,1,2197,219.7,272.3,27.23,56.48,5.649,11.55,1.157,8.923,0.8944,7.543,0.2963,4.669,0.1546,5.301,0.2161,5.369,0.3443,4.466,0.3838,2.107,5.184,5.351,2.084,64.78,95.56
117,1,4563,456.3,640.3,64.03,99.76,9.977,23.73,2.375,22.8,2.282,9.488,0.2381,6.832,0.2145,7.756,0.3523,8.171,0.6385,6.609,0.6954,8.478,2.39,7.301,4.137,194.6,307.9
118,1,4541,454.1,637.9,63.79,99.57,9.958,23.74,2.377,22.76,2.278,9.507,0.2374,6.845,0.2161,7.808,0.3533,8.216,0.6406,6.682,0.7028,8.486,2.391,7.306,4.144,191.1,297.7
119,1,807.3,80.73,135.4,13.54,12.21,1.222,3.172,0.3195,4.174,0.4195,5.269,0.3078,2.268,0.09578,5.934,0.5138,0.3804,1.21,1.931,0.2185,1.062,3.952,3.296,0.7438,40.74,66.18
120,2,5.205,0.5212,0.1639,0.0238,0.06713,0.008834,0.02159,0.00467,nan,nan,3.434,0.2068,1.498,0.1118,1.087,0.09104,0.3874,0.4584,nan,nan,0.3246,0.3972,0.3354,0.2249,0.8462,5.381
121,1,5510,551,724.4,72.44,103.4,10.34,24.54,2.458,21.27,2.131,10.01,0.2118,7,0.2077,9.704,0.5765,7.211,1.405,6.287,0.8761,8.492,2.409,7.336,4.204,419.7,613.8
122,2,1.478,0.1501,0.1012,0.0178,nan,nan,nan,nan,nan,nan,2.529,0.0804,2.719,0.2263,nan,nan,nan,nan,nan,nan,0.1882,0.2744,nan,0.1085,0.8726,6.254
123,1,2081,208.1,264.6,26.46,54.22,5.423,11.09,1.111,8.749,0.8768,7.637,0.3238,4.885,0.1739,5.342,0.2103,5.618,0.3203,4.787,0.4055,2.14,5.187,5.395,2.375,58.15,90.61
124,1,2109,210.9,266.4,26.64,54.74,5.475,11.2,1.121,8.797,0.8817,7.673,0.3056,4.933,0.1729,5.351,0.2031,5.739,0.3065,4.753,0.3982,2.143,5.165,5.387,2.305,59.62,91.05
125,1,2022,202.2,261,26.1,53.12,5.313,10.86,1.088,8.645,0.8664,7.831,0.34,5.072,0.1924,5.475,0.2183,5.701,0.3312,5.539,0.4665,2.139,5.182,5.391,2.231,54.95,92.36
126,1,2006,200.6,260,26,52.85,5.286,10.83,1.085,8.608,0.8627,7.937,0.3514,5.149,0.1995,5.595,0.2335,5.832,0.3614,5.978,0.5096,2.139,5.182,5.39,2.235,53.81,88.14
127,1,403.7,40.37,53.72,5.374,5.264,0.5284,1.071,0.1109,1.603,0.1634,5.611,0.2303,4.596,0.1248,5.418,0.3178,5.265,0.8484,2.36,0.2959,0.7199,1.889,1.834,0.5122,27.79,63.56
128,1,391.5,39.15,52.53,5.255,5.155,0.5175,1.036,0.1072,1.575,0.1605,5.618,0.2321,4.588,0.1239,5.425,0.317,5.253,0.8964,2.404,0.3064,0.7195,1.889,1.834,0.5024,26.03,58.9
129,1,324.7,32.47,44.4,4.442,4.311,0.4329,0.8919,0.09245,1.317,0.1344,5.665,0.2405,4.626,0.1579,5.48,0.2943,5.84,1.068,4.798,0.5298,0.7022,1.876,1.803,0.5047,20.18,57.89
130,1,337.9,33.79,47.01,4.703,4.438,0.4457,0.9139,0.09471,1.37,0.1398,5.655,0.2379,4.531,0.1291,5.485,0.3069,5.928,1.064,4.581,0.5151,0.7111,1.883,1.82,0.3542,21.15,59.34
131,2,14.57,1.457,0.6141,0.0681,0.2137,0.02353,nan,nan,nan,nan,4.384,0.1801,4.578,0.2674,4.265,0.2395,nan,nan,nan,nan,0.2709,0.3708,0.193,0.05354,1.142,5.527
132,1,5580,558,729.7,72.97,103.1,10.31,24.33,2.437,21.09,2.113,10,0.2107,7.012,0.2117,9.374,0.5277,7.08,1.415,7.332,1.002,8.491,2.409,7.336,4.204,435.3,616
133,2,0.438,0.0464,nan,nan,nan,nan,nan,nan,nan,nan,2.19,0.08966,nan,nan,nan,nan,nan,nan,nan,nan,0.1529,0.1994,nan,0.01356,0.2433,2.473
134,2,1.253,0.1272,nan,nan,nan,nan,nan,nan,nan,nan,1.942,0.06667,nan,nan,nan,nan,nan,nan,nan,nan,0.2833,0.2129,nan,0.07522,0.788,4.8
135,1,1465,146.5,210.1,21.01,42.89,4.289,9.106,0.9121,6.925,0.6941,8.073,0.3877,5.515,0.2262,5.864,0.222,6.359,0.4179,6.548,0.6046,2.483,4.195,5.225,1.789,35.88,81.59
136,1,486.4,48.64,61.06,6.107,12.32,1.233,2.644,0.266,2.622,0.2637,7.896,0.5102,3.267,0.2539,4.464,0.3463,4.986,0.6573,2.41,0.2935,1.303,2.148,2.678,0.9163,11.31,32.87
137,1,445.1,44.51,55.99,5.6,11.38,1.139,2.456,0.2471,2.467,0.2482,7.9,0.5082,3.259,0.2599,4.32,0.3325,4.985,0.6535,2.411,0.2918,1.309,2.145,2.682,0.6747,9.879,28.07
138,1,174.8,17.48,24.17,2.419,2.317,0.2335,0.5851,0.06137,0.8682,0.08929,5.473,0.2471,4.433,0.1828,5.433,0.2832,4.839,0.7366,4.593,0.3932,0.4713,0.982,0.9974,0.5804,10.67,33.6
139,1,131.5,13.15,19.29,1.931,1.888,0.1904,0.4981,0.05244,0.7233,0.07458,5.426,0.2433,4.289,0.186,5.233,0.2703,4.973,0.7313,3.875,0.3849,0.4666,0.9799,0.9899,0.5772,6.69,21.67
140,2,6.001,0.6004,0.6151,0.06432,0.08405,0.01033,nan,nan,nan,nan,1.336,0.06771,1.275,0.07981,1.416,0.08598,nan,nan,nan,nan,0.2773,0.5051,0.3766,0.2055,0.7615,4.654
141,2,0.6613,0.06849,nan,nan,nan,nan,nan,nan,nan,nan,2.06,0.08259,nan,nan,nan,nan,nan,nan,nan,nan,0.2307,0.2092,nan,0.03084,0.5024,3.345
142,2,1.566,0.1641,nan,nan,0.03153,0.007201,nan,nan,nan,nan,4.284,0.276,nan,nan,1.339,0.4901,nan,nan,nan,nan,0.2541,1.248,0.7809,1.341,3.728,25.89
143,1,6.963,0.6998,0.3943,0.05165,nan,nan,nan,nan,nan,nan,3.144,0.1451,0.233,2.274e+04,nan,nan,nan,nan,nan,nan,0.2155,0.1516,nan,0.03691,7.758,50.47
144,1,103.5,10.35,12.93,1.295,0.09526,0.01191,nan,nan,nan,nan,2.407,0.06917,1.771,0.06351,1.939,0.1683,nan,nan,nan,nan,0.5722,0.8393,1.02,0.2736,6.304,17.16
145,2,0.5253,0.05947,0.1154,0.01921,nan,nan,nan,nan,nan,nan,2.987,0.1343,1.579,0.1487,nan,nan,nan,nan,nan,nan,0.1579,0.5325,nan,2.054,1.264,10.76
146,2,56.62,5.663,3.734,0.3752,0.7383,0.07478,0.1726,0.0196,0.2243,0.02463,5.04,0.265,5.566,0.4666,5.068,0.2906,3.882,0.3186,5.712,0.5805,0.5766,0.3043,0.4852,0.249,1.153,6.254
147,2,2.774,0.2778,0.1975,0.02431,0.02268,0.004191,nan,nan,nan,nan,1.609,0.06507,1.382,0.03756,1.86,0.2454,nan,nan,nan,nan,0.1807,0.2642,nan,0.07657,0.3226,2.618
148,1,5.78,0.5785,0.3189,0.03766,0.05862,0.008056,nan,nan,nan,nan,3.88,0.2656,2.085,0.1534,2.836,0.2412,nan,nan,nan,nan,0.216,0.5808,0.3215,0.4206,0.6928,5.381
149,1,115.1,11.51,17.72,1.773,1.658,0.1673,0.4439,0.04697,0.6869,0.07084,5.168,0.2477,4.086,0.1923,5.052,0.2795,5.055,0.7562,4.252,0.3578,0.4574,0.9796,0.9777,0.5972,5.225,17.02
150,2,3.268,0.3276,0.1592,0.02318,nan,nan,nan,nan,nan,nan,2.18,0.1593,2.112,0.2032,nan,nan,nan,nan,nan,nan,0.1875,0.6683,0.3208,0.422,0.9625,6.4
151,2,34.37,3.437,3.872,0.3897,0.3057,0.03303,0.05424,0.009039,nan,nan,2.3,0.1097,2.041,0.1526,2.275,0.1331,0.8665,0.1018,nan,nan,0.4213,1.111,1.004,0.2132,3.226,11.49
152,2,2.014,0.2039,0.08912,0.01804,nan,nan,nan,nan,nan,nan,3.512,0.1548,0.9297,0.2308,nan,nan,nan,nan,nan,nan,0.2088,0.3859,nan,0.1419,1.55,13.82
153,2,20.07,2.007,2.286,0.233,0.1731,0.02027,nan,nan,nan,nan,3.054,0.1327,1.429,0.08134,1.734,0.4829,nan,nan,nan,nan,0.923,0.283,0.6797,0.456,3.21,11.78
154,2,0.7048,0.07254,0.1936,0.02473,0.04009,0.006004,0.0123,0.003392,nan,nan,1.8,0.06035,1.539,0.02902,1.253,0.04977,0.948,0.1351,nan,nan,0.1789,0.2216,nan,0.02202,0.3649,2.763
155,1,28.19,2.82,3.534,0.3566,0.8817,0.0895,0.204,0.02299,0.1333,0.01613,2.556,0.05898,1.585,0.03463,2.315,0.07761,1.986,0.2148,2.284,0.2384,0.6487,1.071,1.268,0.3205,3.824,15.71
156,2,1.758,0.1774,0.4532,0.04927,nan,nan,nan,nan,nan,nan,2.135,0.1423,0.881,0.04517,nan,nan,nan,nan,nan,nan,0.1732,0.2114,nan,0.01989,0.7087,4.218
157,1,82.85,8.286,14.2,1.421,1.2,0.1213,0.28,0.03052,0.522,0.05418,4.36,0.2279,3.779,0.1799,4.516,0.3169,0.9719,0.1752,4.267,0.358,0.4482,0.9741,0.962,0.5876,4.009,13.53
158,2,50.03,5.003,10.43,1.044,0.7856,0.07964,0.1673,0.01902,0.3232,0.03416,2.918,0.132,2.303,0.0694,2.716,0.09738,3.515,0.5457,1.79,0.06313,0.4143,0.8094,0.8112,0.3171,2.729,10.91
159,2,4.588,0.4592,0.2791,0.0329,0.05663,0.007771,nan,nan,0.01183,0.003253,2.785,0.1177,2.078,0.1649,2.958,0.3178,nan,nan,2.331,0.5303,0.2073,0.2492,nan,0.05045,0.3385,2.763
160,2,0.5832,0.06021,nan,nan,nan,nan,nan,nan,nan,nan,1.728,0.09548,nan,nan,nan,nan,nan,nan,nan,nan,0.2888,0.1857,nan,0.1355,0.3543,3.054
